,tic,date,strategy,win,hold,lost,sum_close_day,gain_7_percent,gain_10_percent,gain_15_percent
0,UNH,1008,no_merge,0.14,0.86,0.0,0.19,0.09,0.12,0.18
1,UNH,1008,merge_1,0.14,0.86,0.0,0.19,0.09,0.12,0.18
2,UNH,1008,merge_2,0.14,0.86,0.0,0.19,0.09,0.12,0.18
3,UNH,1008,merge_3,0.14,0.86,0.0,0.19,0.09,0.12,0.18
4,UNH,1008,yesterday_strategy,0.14,0.52,0.33,-0.22,-1.29,-1.2,-1.02
5,UNH,1008,trend,0.48,0,0.52,0.3,0.3,0.4,0.6
6,UNH,1050,no_merge,0.43,0.14,0.43,0.15,-1.2,-1.03,-0.69
7,UNH,1050,merge_1,0.43,0.14,0.43,0.15,-1.2,-1.03,-0.69
8,UNH,1050,merge_2,0.43,0.19,0.38,0.2,-1.23,-1.07,-0.75
9,UNH,1050,merge_3,0.43,0.19,0.38,0.2,-1.23,-1.07,-0.75
10,UNH,1050,yesterday_strategy,0.19,0.62,0.19,0.17,0.24,0.32,0.48
11,UNH,1050,trend,0.43,0,0.57,0.42,0.27,0.36,0.54
12,UNH,1092,no_merge,0.43,0.57,0.0,0.4,0.27,0.36,0.54
13,UNH,1092,merge_1,0.38,0.62,0.0,0.36,0.24,0.32,0.48
14,UNH,1092,merge_2,0.33,0.67,0.0,0.3,0.21,0.28,0.42
15,UNH,1092,merge_3,0.33,0.67,0.0,0.3,0.21,0.28,0.42
16,UNH,1092,yesterday_strategy,0.48,0.29,0.24,0.17,-0.71,-0.57,-0.29
17,UNH,1092,trend,0.71,0,0.29,0.53,0.45,0.6,0.9
18,UNH,1134,no_merge,0.33,0.29,0.38,0.12,0.45,0.6,0.9
19,UNH,1134,merge_1,0.24,0.48,0.29,0.16,0.33,0.44,0.66
20,UNH,1134,merge_2,0.24,0.48,0.29,0.16,0.33,0.44,0.66
21,UNH,1134,merge_3,0.24,0.48,0.29,0.16,0.33,0.44,0.66
22,UNH,1134,yesterday_strategy,0.14,0.57,0.29,0.02,0.27,0.36,0.54
23,UNH,1134,trend,0.43,0,0.57,0.33,0.27,0.36,0.54
24,UNH,1176,no_merge,0.33,0.43,0.24,0.1,-0.89,-0.78,-0.56
25,UNH,1176,merge_1,0.33,0.52,0.14,0.11,0.3,0.4,0.6
26,UNH,1176,merge_2,0.33,0.52,0.14,0.11,0.3,0.4,0.6
27,UNH,1176,merge_3,0.33,0.52,0.14,0.11,0.3,0.4,0.6
28,UNH,1176,yesterday_strategy,0.24,0.52,0.24,-0.04,0.3,0.4,0.6
29,UNH,1176,trend,0.48,0,0.52,0.25,0.3,0.4,0.6
30,UNH,1218,no_merge,0.29,0.62,0.1,0.11,0.24,0.32,0.48
31,UNH,1218,merge_1,0.24,0.76,0.0,0.17,0.15,0.2,0.3
